"teste1";"Demanda";"Area";"Volume";"EficienciaGlobal"
"333";"Agudo";"300";"500";"2000";"74.2015555187821"
"334";"Agudo";"300";"500";"3000";"83.0382260466656"
"335";"Agudo";"300";"500";"4000";"89.8725798444481"
"336";"Agudo";"300";"500";"5000";"93.4138672844614"
"337";"Agudo";"300";"500";"6000";"95.8464338904518"
"338";"Agudo";"300";"500";"7000";"97.7494621876551"
"339";"Agudo";"300";"500";"8000";"98.6099619394341"
"340";"Agudo";"300";"500";"9000";"99.1560483203707"
"341";"Agudo";"300";"500";"10000";"99.4042694026146"
"342";"Agudo";"300";"500";"20000";"99.5862981962601"
"343";"Agudo";"300";"500";"30000";"99.5862981962601"
"344";"Agudo";"300";"500";"40000";"99.5862981962601"
"345";"Agudo";"300";"500";"50000";"99.5862981962601"
"346";"Agudo";"300";"1000";"500";"44.5805063710078"
"347";"Agudo";"300";"1000";"1000";"60.6321363561145"
"348";"Agudo";"300";"1000";"2000";"75.6577858679464"
"349";"Agudo";"300";"1000";"3000";"84.7426774780738"
"350";"Agudo";"300";"1000";"4000";"91.593579348006"
"351";"Agudo";"300";"1000";"5000";"94.7542611285785"
"352";"Agudo";"300";"1000";"6000";"96.9220585801754"
"353";"Agudo";"300";"1000";"7000";"98.5603177229853"
"354";"Agudo";"300";"1000";"8000";"99.0733079596227"
"355";"Agudo";"300";"1000";"9000";"99.387721330465"
"356";"Agudo";"300";"1000";"10000";"99.5366539798113"
"357";"Agudo";"300";"1000";"20000";"99.5862981962601"
"358";"Agudo";"300";"1000";"30000";"99.5862981962601"
"359";"Agudo";"300";"1000";"40000";"99.5862981962601"
"360";"Agudo";"300";"1000";"50000";"99.5862981962601"
"361";"Agudo";"400";"50";"500";"34.1717689889128"
"362";"Agudo";"400";"50";"1000";"38.3087870263114"
"363";"Agudo";"400";"50";"2000";"42.5947377130564"
"364";"Agudo";"400";"50";"3000";"45.1762369683932"
"365";"Agudo";"400";"50";"4000";"46.5000827403607"
"366";"Agudo";"400";"50";"5000";"47.3109382756909"
"367";"Agudo";"400";"50";"6000";"47.7411881515803"
"368";"Agudo";"400";"50";"7000";"47.9728611616747"
"369";"Agudo";"400";"50";"8000";"48.0886976667218"
"370";"Agudo";"400";"50";"9000";"48.1052457388714"
"371";"Agudo";"400";"50";"10000";"48.1052457388714"
"372";"Agudo";"400";"50";"20000";"48.1052457388714"
"373";"Agudo";"400";"50";"30000";"48.1052457388714"
"374";"Agudo";"400";"50";"40000";"48.1052457388714"
"375";"Agudo";"400";"50";"50000";"48.1052457388714"
"376";"Agudo";"400";"100";"500";"39.1196425616416"
"377";"Agudo";"400";"100";"1000";"45.5237464835347"
"378";"Agudo";"400";"100";"2000";"54.3769650835678"
"379";"Agudo";"400";"100";"3000";"61.509184180043"
"380";"Agudo";"400";"100";"4000";"65.348336918749"
"381";"Agudo";"400";"100";"5000";"68.6083071322191"
"382";"Agudo";"400";"100";"6000";"70.776104583816"
"383";"Agudo";"400";"100";"7000";"72.5467483038226"
"384";"Agudo";"400";"100";"8000";"73.8871421479398"
"385";"Agudo";"400";"100";"9000";"75.062055270561"
"386";"Agudo";"400";"100";"10000";"76.0714876716862"
"387";"Agudo";"400";"100";"20000";"81.2013900380606"
"388";"Agudo";"400";"100";"30000";"83.633956644051"
"389";"Agudo";"400";"100";"40000";"84.5275525401291"
"390";"Agudo";"400";"100";"50000";"85.222571570412"
"391";"Agudo";"400";"150";"500";"41.2543438689393"
"392";"Agudo";"400";"150";"1000";"48.3369187489657"
"393";"Agudo";"400";"150";"2000";"58.5967234817144"
"394";"Agudo";"400";"150";"3000";"67.7478073804402"
"395";"Agudo";"400";"150";"4000";"72.8611616746649"
"396";"Agudo";"400";"150";"5000";"77.3953334436538"
"397";"Agudo";"400";"150";"6000";"80.40708257488"
