"cidade";"Demanda";"Area";"Volume";"EficienciaGlobal"
"337";"Agudo";"300";"500";"6000";"98.0016424856283"
"338";"Agudo";"300";"500";"7000";"98.8593849803814"
"339";"Agudo";"300";"500";"8000";"99.2152568665024"
"340";"Agudo";"300";"500";"9000";"99.3886303494844"
"341";"Agudo";"300";"500";"10000";"99.5711287526234"
"342";"Agudo";"300";"500";"20000";"99.9543753992153"
"343";"Agudo";"300";"500";"30000";"99.9543753992153"
"344";"Agudo";"300";"500";"40000";"99.9543753992153"
"345";"Agudo";"300";"500";"50000";"99.9543753992153"
"346";"Agudo";"300";"1000";"500";"49.7855643763117"
"347";"Agudo";"300";"1000";"1000";"66.4567935030568"
"348";"Agudo";"300";"1000";"2000";"81.5859111232777"
"349";"Agudo";"300";"1000";"3000";"90.236335432065"
"350";"Agudo";"300";"1000";"4000";"95.4192900812118"
"351";"Agudo";"300";"1000";"5000";"97.4906469568391"
"352";"Agudo";"300";"1000";"6000";"98.5947622958299"
"353";"Agudo";"300";"1000";"7000";"99.1605073455607"
"354";"Agudo";"300";"1000";"8000";"99.4433798704261"
"355";"Agudo";"300";"1000";"9000";"99.5893785929373"
"356";"Agudo";"300";"1000";"10000";"99.7171274751346"
"357";"Agudo";"300";"1000";"20000";"99.9543753992153"
"358";"Agudo";"300";"1000";"30000";"99.9543753992153"
"359";"Agudo";"300";"1000";"40000";"99.9543753992153"
"360";"Agudo";"300";"1000";"50000";"99.9543753992153"
"361";"Agudo";"400";"50";"500";"38.8539100282873"
"362";"Agudo";"400";"50";"1000";"43.4619947075463"
"363";"Agudo";"400";"50";"2000";"49.0829455242267"
"364";"Agudo";"400";"50";"3000";"52.1215439364906"
"365";"Agudo";"400";"50";"4000";"53.8370289259969"
"366";"Agudo";"400";"50";"5000";"54.8590199835751"
"367";"Agudo";"400";"50";"6000";"55.3700155123643"
"368";"Agudo";"400";"50";"7000";"55.6985126380144"
"369";"Agudo";"400";"50";"8000";"55.954010402409"
"370";"Agudo";"400";"50";"9000";"56.1912583264896"
"371";"Agudo";"400";"50";"10000";"56.3463819691578"
"372";"Agudo";"400";"50";"20000";"56.6383794141801"
"373";"Agudo";"400";"50";"30000";"56.6383794141801"
"374";"Agudo";"400";"50";"40000";"56.6383794141801"
"375";"Agudo";"400";"50";"50000";"56.6383794141801"
"376";"Agudo";"400";"100";"500";"43.516744228488"
"377";"Agudo";"400";"100";"1000";"50.6889314718496"
"378";"Agudo";"400";"100";"2000";"60.3430969979013"
"379";"Agudo";"400";"100";"3000";"68.1722784925632"
"380";"Agudo";"400";"100";"4000";"72.4974906469568"
"381";"Agudo";"400";"100";"5000";"75.8372114244"
"382";"Agudo";"400";"100";"6000";"78.1731909845789"
"383";"Agudo";"400";"100";"7000";"80.0437996167533"
"384";"Agudo";"400";"100";"8000";"81.5950360434346"
"385";"Agudo";"400";"100";"9000";"82.9911488274478"
"386";"Agudo";"400";"100";"10000";"84.2960124098914"
"387";"Agudo";"400";"100";"20000";"89.9169632265718"
"388";"Agudo";"400";"100";"30000";"92.1616935851811"
"389";"Agudo";"400";"100";"40000";"93.42093256684"
"390";"Agudo";"400";"100";"50000";"94.1600510995529"
"391";"Agudo";"400";"150";"500";"45.7888493475682"
"392";"Agudo";"400";"150";"1000";"53.1982845150105"
"393";"Agudo";"400";"150";"2000";"64.5314353499407"
"394";"Agudo";"400";"150";"3000";"74.1491011953645"
"395";"Agudo";"400";"150";"4000";"79.39593028561"
"396";"Agudo";"400";"150";"5000";"83.7302673601606"
"397";"Agudo";"400";"150";"6000";"86.5133680080299"
"398";"Agudo";"400";"150";"7000";"88.8675974085227"
"399";"Agudo";"400";"150";"8000";"90.3914590747331"
"400";"Agudo";"400";"150";"9000";"91.7875718587462"
"401";"Agudo";"400";"150";"10000";"92.8004379961675"
"402";"Agudo";"400";"150";"20000";"98.4213888128479"
"403";"Agudo";"400";"150";"30000";"99.6897527146638"
"404";"Agudo";"400";"150";"40000";"99.9543753992153"
"405";"Agudo";"400";"150";"50000";"99.9543753992153"
"406";"Agudo";"400";"200";"500";"46.7652158043617"
"407";"Agudo";"400";"200";"1000";"54.7221461812209"
"408";"Agudo";"400";"200";"2000";"66.6301669860389"
"409";"Agudo";"400";"200";"3000";"77.1329500866867"
"410";"Agudo";"400";"200";"4000";"82.8086504243088"
"411";"Agudo";"400";"200";"5000";"87.2981111415275"
"412";"Agudo";"400";"200";"6000";"90.044712108769"
"413";"Agudo";"400";"200";"7000";"92.2255680262798"
"414";"Agudo";"400";"200";"8000";"93.7585546126471"
"415";"Agudo";"400";"200";"9000";"94.9995437539922"
"416";"Agudo";"400";"200";"10000";"95.9576603704718"
"417";"Agudo";"400";"200";"20000";"99.6897527146638"
"418";"Agudo";"400";"200";"30000";"99.9543753992153"
"419";"Agudo";"400";"200";"40000";"99.9543753992153"
"420";"Agudo";"400";"200";"50000";"99.9543753992153"
"421";"Agudo";"400";"300";"500";"47.778081941783"
"422";"Agudo";"400";"300";"1000";"56.1638835660188"
"423";"Agudo";"400";"300";"2000";"68.7745232229218"
"424";"Agudo";"400";"300";"3000";"80.0346746965964"
"425";"Agudo";"400";"300";"4000";"85.6465005931198"
"426";"Agudo";"400";"300";"5000";"90.4005839948901"
"427";"Agudo";"400";"300";"6000";"93.065060680719"
"428";"Agudo";"400";"300";"7000";"95.0634181950908"
"429";"Agudo";"400";"300";"8000";"96.3044073364358"
"430";"Agudo";"400";"300";"9000";"97.2533990327585"
"431";"Agudo";"400";"300";"10000";"97.9651428050005"
"432";"Agudo";"400";"300";"20000";"99.8540012774888"
"433";"Agudo";"400";"300";"30000";"99.9543753992153"
"434";"Agudo";"400";"300";"40000";"99.9543753992153"
"435";"Agudo";"400";"300";"50000";"99.9543753992153"
"436";"Agudo";"400";"400";"500";"48.3255771511999"
"437";"Agudo";"400";"400";"1000";"56.9668765398303"
"438";"Agudo";"400";"400";"2000";"69.8512638014417"
"439";"Agudo";"400";"400";"3000";"81.4490373209235"
"440";"Agudo";"400";"400";"4000";"87.0152386166621"
"441";"Agudo";"400";"400";"5000";"91.6324482160781"
"442";"Agudo";"400";"400";"6000";"94.0596769778264"
"443";"Agudo";"400";"400";"7000";"95.9485354503148"
"444";"Agudo";"400";"400";"8000";"97.1256501505612"
"445";"Agudo";"400";"400";"9000";"97.9925175654713"
"446";"Agudo";"400";"400";"10000";"98.4852632539465"
"447";"Agudo";"400";"400";"20000";"99.9270006387444"
"448";"Agudo";"400";"400";"30000";"99.9543753992153"
"449";"Agudo";"400";"400";"40000";"99.9543753992153"
"450";"Agudo";"400";"400";"50000";"99.9543753992153"
"451";"Agudo";"400";"500";"500";"48.7270736381057"
"452";"Agudo";"400";"500";"1000";"57.5691212701889"
"453";"Agudo";"400";"500";"2000";"70.5995072543115"
"454";"Agudo";"400";"500";"3000";"82.2885299753627"
"455";"Agudo";"400";"500";"4000";"87.8364814307875"
"456";"Agudo";"400";"500";"5000";"92.4080664294187"
"457";"Agudo";"400";"500";"6000";"94.6254220275573"
"458";"Agudo";"400";"500";"7000";"96.4960306597317"
"459";"Agudo";"400";"500";"8000";"97.5910210785656"
"460";"Agudo";"400";"500";"9000";"98.403138972534"
"461";"Agudo";"400";"500";"10000";"98.7863856191258"
"462";"Agudo";"400";"500";"20000";"99.9543753992153"
"463";"Agudo";"400";"500";"30000";"99.9543753992153"
"464";"Agudo";"400";"500";"40000";"99.9543753992153"
"465";"Agudo";"400";"500";"50000";"99.9543753992153"
"466";"Agudo";"400";"1000";"500";"49.557441372388"
"467";"Agudo";"400";"1000";"1000";"58.6823615293366"
"468";"Agudo";"400";"1000";"2000";"72.1872433616206"
"469";"Agudo";"400";"1000";"3000";"84.3142622502053"
"470";"Agudo";"400";"1000";"4000";"89.6067159412355"
"471";"Agudo";"400";"1000";"5000";"93.968427776257"
"472";"Agudo";"400";"1000";"6000";"95.9667852906287"
"473";"Agudo";"400";"1000";"7000";"97.6457705995073"
"474";"Agudo";"400";"1000";"8000";"98.4122638926909"
"475";"Agudo";"400";"1000";"9000";"98.9506341819509"
"476";"Agudo";"400";"1000";"10000";"99.1878821060316"
"477";"Agudo";"400";"1000";"20000";"99.9543753992153"
