"nº";"Cidade""Demanda";"Area";"Volume";"EficienciaGlobal"
"369";"Aceguá";"400";"50";"8000";"43.5131603509427"
"370";"Aceguá";"400";"50";"9000";"43.6064961732313"
"371";"Aceguá";"400";"50";"10000";"43.6438305021467"
"372";"Aceguá";"400";"50";"20000";"43.7371663244353"
"373";"Aceguá";"400";"50";"30000";"43.7371663244353"
"374";"Aceguá";"400";"50";"40000";"43.7371663244353"
"375";"Aceguá";"400";"50";"50000";"43.7371663244353"
"376";"Aceguá";"400";"100";"500";"36.5503080082135"
"377";"Aceguá";"400";"100";"1000";"42.2251260033601"
"378";"Aceguá";"400";"100";"2000";"50.5693485159604"
"379";"Aceguá";"400";"100";"3000";"57.5882023520627"
"380";"Aceguá";"400";"100";"4000";"61.3776367369797"
"381";"Aceguá";"400";"100";"5000";"64.2337128990106"
"382";"Aceguá";"400";"100";"6000";"66.3244353182751"
"383";"Aceguá";"400";"100";"7000";"67.8924771327235"
"384";"Aceguá";"400";"100";"8000";"69.3298487959679"
"385";"Aceguá";"400";"100";"9000";"70.4125443345156"
"386";"Aceguá";"400";"100";"10000";"71.4205712152324"
"387";"Aceguá";"400";"100";"20000";"75.5833488893037"
"388";"Aceguá";"400";"100";"30000";"76.6100429344782"
"389";"Aceguá";"400";"100";"40000";"77.1700578682098"
"390";"Aceguá";"400";"100";"50000";"77.1700578682098"
"391";"Aceguá";"400";"150";"500";"38.5850289341049"
"392";"Aceguá";"400";"150";"1000";"45.2678738099683"
"393";"Aceguá";"400";"150";"2000";"55.6094829195445"
"394";"Aceguá";"400";"150";"3000";"65.0177338062348"
"395";"Aceguá";"400";"150";"4000";"70.2072055254807"
"396";"Aceguá";"400";"150";"5000";"74.6499906664178"
"397";"Aceguá";"400";"150";"6000";"77.5060668284488"
"398";"Aceguá";"400";"150";"7000";"79.9327982079522"
"399";"Aceguá";"400";"150";"8000";"81.7995146537241"
"400";"Aceguá";"400";"150";"9000";"83.330222139257"
"401";"Aceguá";"400";"150";"10000";"84.6369236512974"
"402";"Aceguá";"400";"150";"20000";"92.1971252566735"
"403";"Aceguá";"400";"150";"30000";"94.9785327608736"
"404";"Aceguá";"400";"150";"40000";"96.9759193578495"
"405";"Aceguá";"400";"150";"50000";"98.3012880343476"
"406";"Aceguá";"400";"200";"500";"39.705058801568"
"407";"Aceguá";"400";"200";"1000";"46.9292514467052"
"408";"Aceguá";"400";"200";"2000";"58.3162217659138"
"409";"Aceguá";"400";"200";"3000";"68.9565055068135"
"410";"Aceguá";"400";"200";"4000";"74.6499906664178"
"411";"Aceguá";"400";"200";"5000";"79.9701325368677"
"412";"Aceguá";"400";"200";"6000";"83.2742206458839"
"413";"Aceguá";"400";"200";"7000";"85.8876236699645"
"414";"Aceguá";"400";"200";"8000";"87.717005786821"
"415";"Aceguá";"400";"200";"9000";"89.2663804368116"
"416";"Aceguá";"400";"200";"10000";"90.703752100056"
"417";"Aceguá";"400";"200";"20000";"97.4425984692925"
"418";"Aceguá";"400";"200";"30000";"99.3466492439798"
"419";"Aceguá";"400";"200";"40000";"100"
"420";"Aceguá";"400";"200";"50000";"100"
"421";"Aceguá";"400";"300";"500";"40.9557588202352"
"422";"Aceguá";"400";"300";"1000";"48.739966399104"
"423";"Aceguá";"400";"300";"2000";"61.2656337502333"
"424";"Aceguá";"400";"300";"3000";"73.3619563188352"
"425";"Aceguá";"400";"300";"4000";"79.6527907410864"
"426";"Aceguá";"400";"300";"5000";"85.1969385850289"
"427";"Aceguá";"400";"300";"6000";"88.5196938585029"
"428";"Aceguá";"400";"300";"7000";"91.3571028560762"
"429";"Aceguá";"400";"300";"8000";"93.2051521373903"
"430";"Aceguá";"400";"300";"9000";"94.7171924584656"
"431";"Aceguá";"400";"300";"10000";"95.818555161471"
"432";"Aceguá";"400";"300";"20000";"99.6826582042188"
"433";"Aceguá";"400";"300";"30000";"100"
"434";"Aceguá";"400";"300";"40000";"100"
"435";"Aceguá";"400";"300";"50000";"100"
"436";"Aceguá";"400";"400";"500";"41.4411050961359"
"437";"Aceguá";"400";"400";"1000";"49.6733246219899"
"438";"Aceguá";"400";"400";"2000";"62.6656710845623"
"439";"Aceguá";"400";"400";"3000";"75.2473399290648"
"440";"Aceguá";"400";"400";"4000";"81.5755086802315"
"441";"Aceguá";"400";"400";"5000";"87.4743326488706"
"442";"Aceguá";"400";"400";"6000";"90.6850849355983"
"443";"Aceguá";"400";"400";"7000";"93.6344969199179"
"444";"Aceguá";"400";"400";"8000";"95.2585402277394"
"445";"Aceguá";"400";"400";"9000";"96.6399103976106"
"446";"Aceguá";"400";"400";"10000";"97.5172671271234"
"447";"Aceguá";"400";"400";"20000";"99.9626656710846"
"448";"Aceguá";"400";"400";"30000";"100"
"449";"Aceguá";"400";"400";"40000";"100"
"450";"Aceguá";"400";"400";"50000";"100"
"451";"Aceguá";"400";"500";"500";"41.963785700952"
"452";"Aceguá";"400";"500";"1000";"50.3640097069255"
"453";"Aceguá";"400";"500";"2000";"63.4310248273287"
"454";"Aceguá";"400";"500";"3000";"76.2553668097816"
"455";"Aceguá";"400";"500";"4000";"82.8635430278141"
"456";"Aceguá";"400";"500";"5000";"88.7810341609109"
"457";"Aceguá";"400";"500";"6000";"92.0104536120963"
"458";"Aceguá";"400";"500";"7000";"94.7918611162964"
"459";"Aceguá";"400";"500";"8000";"96.1732312861676"
